,Pair,Group,IFGr_IFGr_vid,IFGl_IFGl_vid,TPJr_TPJr_vid,TPJl_TPJl_vid,IFGl_IFGr_vid,IFGr_TPJr_vid,IFGr_TPJl_vid,IFGl_TPJr_vid,IFGl_TPJl_vid,TPJr_TPJl_vid,IFGr_IFGr_int,IFGl_IFGl_int,TPJr_TPJr_int,TPJl_TPJl_int,IFGl_IFGr_int,IFGr_TPJr_int,IFGr_TPJl_int,IFGl_TPJr_int,IFGl_TPJl_int,TPJr_TPJl_int
73,20,IL,0.2549328965352775,0.23082300231466651,0.33790813807856346,0.29859277797983697,0.23883690720501324,0.2707827648420468,0.2733933311495055,0.25451688136403394,0.2557443749331305,0.27941968561937275,0.28334293944460553,0.24018316424640201,0.296194406548432,0.287255248301282,0.265434620439648,0.24972744745526676,0.29893272964953427,0.2825047911594485,0.292148723964143,0.341725456840529
74,20,NIC,0.2536761565464025,0.33534592066911395,,0.331482480495916,0.3032940439820102,0.33610292405253,0.250352640997572,0.31855726658043804,0.23389087723109997,0.201898827247947,0.28617149001854,0.260591580770881,,0.283761969098891,0.2482139372940695,0.193065601566043,0.23253317829093323,0.19506971408122498,0.28209294016166847,0.202728036669058
75,20,NIL,0.211259224596705,0.218934106465114,0.306797358821292,0.3526052007009795,0.20269705955812,0.271380623365538,0.2517405007322445,0.27061657342240925,0.26390134080976874,0.30659990936336623,0.25905410740194446,0.392919073938142,0.2738103541131895,0.28665697861670747,0.307339606658947,0.24128391557956125,0.2683931317838407,0.2688686028765515,0.238450375757195,0.24951742261971027
76,21,IC,0.281201806513305,0.259518427018295,0.262982830895334,0.181553570022205,0.221094409773687,0.2668204247302325,0.232717623204507,0.2694194940770285,0.23068113938871251,0.2585010068071825,0.2192039135187815,0.178915546631585,0.351699246602981,0.2755148066255305,0.22960264641092248,0.25522121881661874,0.23640409863636053,0.26553400759005674,0.230551171112634,0.2694494539608042
77,21,IL,0.2546548116170735,0.27600555852847153,0.221379610505212,0.321282525928583,0.26197643411910676,0.27105077243571474,0.311404048793132,0.23507053365230002,0.2856805974598087,0.258289241295792,0.33223943602517403,0.28103708567602603,0.223596554676692,0.248157447449754,0.30893259446732224,0.2975539554447547,0.23901119868490822,0.2902247052440138,0.2590526034644608,0.2342796572480425
78,21,NIC,0.251893087914169,0.3326376786416815,0.2125185758654965,0.224607441154696,0.25996758177430024,0.23002101869962027,0.2291699661553795,0.2121307503371475,0.20334473643664852,0.21662783195757676,0.295302682576659,,0.28601140685607096,0.263922608506935,0.188085709440182,0.29895459940533053,0.2617896364792113,0.2014094906887035,0.256966689751328,0.24061136176554
79,21,NIL,0.310216763751192,0.2244208448273925,0.260107243347134,0.2384220242816215,0.24750429651383474,0.2633553559183942,0.2543672750064605,0.25919678364100573,0.27042262037418074,0.29534127780361497,0.3312071792640875,0.256191389783342,0.24340811271787802,0.2196788501325445,0.2733322851796905,0.34385727259763,0.2681500514413825,0.29892629137249427,0.2339751882522465,0.250208258095745
80,22,IC,0.30343183910182203,0.281703738943355,0.3084686792205025,0.2869092521220445,0.29360870240564224,0.24929983692406674,0.2713919328584202,0.25276958066636673,0.2616667553593847,0.27848829383034923,0.2644830337669885,0.269299717914676,0.2971391139619105,0.276814507801844,0.2402126319251015,0.34320023647238895,0.238181965978418,0.2309140423899195,0.2461136527560335,0.27695632196325626
81,22,IL,0.291516716104422,0.240930881588387,,,0.2767101584103282,0.2685738168669415,0.2990882472727695,0.26861001775300447,0.303999346084738,,,0.3317064548836315,,,0.3072683919058875,,,0.31279451084601495,0.345121730408062,
82,22,NIC,0.276739071031293,0.26216818302301503,,0.257489543626108,0.27524174244094324,0.263613236149352,0.25419945095157304,0.27322773840693104,0.22783849268586726,0.256453516516495,0.239021375986951,0.250346318764538,0.310128036895562,0.24774292271195647,0.24764924346961475,0.252536092572366,0.279965796899462,0.209311378063044,0.26403501001737223,0.30748135040742497
