,Participant,Comfort_Post,Likeable_Post,More_Time_Post,Group,Pair,Mean_liking_Post
161,B,6.0,7.0,6.0,NIC,5,6.333333333333333
162,A,6.0,6.0,6.0,NIC,6,6.0
163,B,8.0,7.0,4.0,NIC,6,6.333333333333333
164,A,7.0,7.0,4.0,NIC,7,6.0
165,B,5.0,5.0,3.0,NIC,7,4.333333333333333
166,A,7.0,7.0,5.0,NIC,8,6.333333333333333
167,B,5.0,5.0,4.0,NIC,8,4.666666666666667
168,A,8.0,8.0,7.0,NIC,9,7.666666666666667
169,B,8.0,8.0,7.0,NIC,9,7.666666666666667
170,A,8.0,8.0,8.0,NIC,10,8.0
171,B,8.0,8.0,7.0,NIC,10,7.666666666666667
172,A,7.0,7.0,6.0,NIC,11,6.666666666666667
173,B,7.0,6.0,6.0,NIC,11,6.333333333333333
174,A,7.0,7.0,6.0,NIC,12,6.666666666666667
175,B,6.0,6.0,6.0,NIC,12,6.0
176,A,7.0,8.0,5.0,NIC,13,6.666666666666667
177,B,5.0,7.0,7.0,NIC,13,6.333333333333333
178,A,4.0,5.0,4.0,NIC,14,4.333333333333333
179,B,4.0,4.0,3.0,NIC,14,3.6666666666666665
180,A,5.0,7.0,5.0,NIC,15,5.666666666666667
181,B,5.0,5.0,4.0,NIC,15,4.666666666666667
182,A,6.0,5.0,3.0,NIC,16,4.666666666666667
183,B,5.0,5.0,3.0,NIC,16,4.333333333333333
184,A,5.0,5.0,4.0,NIC,17,4.666666666666667
185,B,6.0,6.0,1.0,NIC,17,4.333333333333333
186,A,7.0,6.0,5.0,NIC,18,6.0
187,B,6.0,6.0,6.0,NIC,18,6.0
188,A,7.0,7.0,4.0,NIC,19,6.0
189,B,8.0,8.0,6.0,NIC,19,7.333333333333333
190,A,6.0,6.0,4.0,NIC,20,5.333333333333333
191,B,5.0,3.0,0.0,NIC,20,2.6666666666666665
192,A,8.0,8.0,6.0,NIC,21,7.333333333333333
193,B,5.0,6.0,6.0,NIC,21,5.666666666666667
194,A,6.0,6.0,3.0,NIC,22,5.0
195,B,7.0,7.0,6.0,NIC,22,6.666666666666667
196,A,6.0,6.0,5.0,NIC,23,5.666666666666667
197,B,6.0,6.0,5.0,NIC,23,5.666666666666667
198,A,6.0,6.0,4.0,NIC,24,5.333333333333333
199,B,7.0,7.0,6.0,NIC,24,6.666666666666667
200,A,8.0,8.0,7.0,NIC,25,7.666666666666667
201,B,6.0,7.0,6.0,NIC,25,6.333333333333333
202,A,8.0,8.0,7.0,NIC,26,7.666666666666667
203,B,7.0,7.0,6.0,NIC,26,6.666666666666667
